Player,Position,Date,Projected Points,SalaryPerPoint,Salary
Washington Redskins,DST,12/07 vs. STL,8.9,269.66,2399.974
San Francisco 49ers,DST,12/07 @ OAK,12.06,298.51,3600.0306
Tennessee Titans,DST,12/07 vs. NYG,7.64,301.05,2300.022
Detroit Lions,DST,12/07 vs. TBB,10.9,311.93,3400.037
Jonathan Stewart,RB,12/07 @ NOS,12.18,311.99,3800.0382
New England Patriots,DST,12/07 @ SDC,8.96,312.5,2800
Jordy Nelson,WR,12/08 vs. ATL,25.51,317.52,8099.9352
Charles Johnson,WR,12/07 @ NOS,13.23,325.02,4300.0146
Denver Broncos,DST,12/07 vs. BUF,8.26,326.88,2700.0288
Josh Gordon,WR,12/07 vs. IND,24.56,329.8,8099.888
Kyle Orton,QB,12/07 @ DEN,16.88,331.75,5599.94
Dwayne Bowe,WR,12/07 @ ARI,10.83,332.41,3600.0003
Aaron Rodgers,QB,12/08 vs. ATL,29.16,336.08,9800.0928
Lamar Miller,RB,12/07 vs. BAL,13.37,336.57,4499.9409
Owen Daniels,TE,12/07 @ MIA,8.9,337.08,3000.012
Peyton Manning,QB,12/07 vs. BUF,27.33,340.29,9300.1257
Minnesota Vikings,DST,12/07 vs. NYJ,9.92,342.74,3399.9808
Demaryius Thomas,WR,12/07 vs. BUF,25.5,345.1,8800.05
Matthew Stafford,QB,12/07 vs. TBB,22.87,345.43,7899.9841
Matt Asiata,RB,12/07 vs. NYJ,11.84,346.28,4099.9552
Delanie Walker,TE,12/07 vs. NYG,12.09,347.39,4199.9451
Drew Brees,QB,12/07 vs. CAR,26.14,348.13,9100.1182
New York Jets,DST,12/07 @ MIN,6.88,348.84,2400.0192
Greg Jennings,WR,12/07 vs. NYJ,11.68,351.03,4100.0304
Dion Sims,TE,12/07 vs. BAL,8.54,351.29,3000.0166
Greg Olsen,TE,12/07 @ NOS,13.89,352.77,4899.9753
Josh McCown,QB,12/07 @ DET,15.58,353.02,5500.0516
Le'Veon Bell,RB,12/07 @ CIN,26.62,353.12,9400.0544
Antonio Gates,TE,12/07 vs. NEP,13.26,354.45,4700.007
Frank Gore,RB,12/07 @ OAK,13.54,354.51,4800.0654
Tom Brady,QB,12/07 @ SDC,23.96,354.76,8500.0496
Jordan Matthews,WR,12/07 vs. SEA,16,356.25,5700
Jimmy Graham,TE,12/07 vs. CAR,18.2,357.14,6499.948
Colt McCoy,QB,12/07 vs. STL,16.8,357.14,5999.952
Randall Cobb,WR,12/08 vs. ATL,20.57,359.75,7400.0575
